Birth Rate,Business Tax Rate,CO2 Emissions,Country,Date,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound
0.019594999999999998,,87930.993,Algeria,2000-12-01,,,26997.878,54790058957.3718,0.0348902094184717,60.2673907845976,,0.0339,0.004917056791415891,0.1,70.539,67.398,0.0027112702998088,0.34197605133056597,0.619141540527344,0.0388823914527893,31719449,0.59919,Africa,102000000.0,193000000.0
0.050476999999999994,,9541.534,Angola,2000-12-01,,,7499.003,9129594818.60749,0.033906890986189,22.2303335427969,,0.12830000000000003,0.00105045562462262,1.03160174166667,46.621,43.856,0.0018532229605463,0.476334037780762,0.498959121704102,0.0247068381309509,13924930,0.32419,Africa,34000000.0,146000000.0
0.042707,,1617.147,Benin,2000-12-01,,,1982.67,2359122302.67027,0.043388314469266505,14.7288109674747,,0.09,0.00225247851473369,,57.173,53.298,0.00798288649640845,0.45430286407470705,0.516616477966309,0.029080638885497997,6949366,0.38333,Africa,77000000.0,50000000.0
0.027402000000000003,,4275.722,Botswana,2000-12-01,,,1836.367,5788311645.24919,0.0473767284687601,152.025720850832,,0.0544,0.029026666217720896,0.154791666666667,51.954,49.095,0.126576942248807,0.383331756591797,0.587353134155273,0.0293151044845581,1755375,0.53219,Africa,227000000.0,209000000.0
0.046244999999999994,,1041.428,Burkina Faso,2000-12-01,,,,2610959139.40963,0.0513142499133592,11.5420428213776,,0.09620000000000001,0.000770801689426014,,51.816,49.213,0.00217480373785401,0.467698402404785,0.50465274810791,0.027648823261261,11607944,0.17844000000000002,Africa,23000000.0,30000000.0
0.042497,,300.694,Burundi,2000-12-01,,,,870486065.858218,0.0629992669622671,6.69338822635095,,0.0916,0.0007724844738345601,0.1577,49.446,47.029,0.00244520537477717,0.489746780395508,0.48131351470947303,0.0289397239685059,6674286,0.08246,Africa,1400000.0,14000000.0
0.041203000000000004,,3432.312,Cameroon,2000-12-01,,,6309.658,9287367568.8254,0.0444518705507449,25.9196802657462,,0.0925,0.0025212007773366203,0.22,52.991,50.931,0.00648423285879147,0.45277191162109404,0.5133356094360351,0.0338924980163574,15927713,0.45542,Africa,132000000.0,241000000.0
0.039401000000000005,,267.691,Central African Republic,2000-12-01,,,,914500331.983723,0.042862305820144,10.7723746955245,,0.1133,0.000533941742150456,0.22,45.359,42.105,0.00136519202839995,0.422909393310547,0.537218589782715,0.0398720169067383,3638316,0.37639,Africa,5000000.0,33000000.0
0.050999,,176.016,Chad,2000-12-01,,,,1385058211.51211,0.0627664251466947,10.4726787582153,,0.10590000000000001,0.0003570707628555,0.22,47.604,45.814,0.000662558722278393,0.489717407226563,0.481823654174805,0.0284589457511902,8301151,0.21637,Africa,14000000.0,56000000.0
0.039045,,84.341,Comoros,2000-12-01,,,,201899883.626713,0.0348074847025814,13.3020898919832,,0.0728,0.0027174060728590898,0.12,59.499,56.337,,0.415466613769531,0.553689880371094,0.030843517780304,528312,0.2808,Africa,15000000.0,
0.047608,,1646.483,"Congo, Dem. Rep.",2000-12-01,,,16678.875,19088046305.2348,0.0477260194518992,13.8325721209172,,0.1146,5.9021136806902994e-05,,47.795,44.985,0.000319493962458693,0.464490547180176,0.507233924865723,0.0282755351066589,46949244,0.35122,Africa,,
0.039179000000000005,,1048.762,"Congo, Rep.",2000-12-01,,,814.173,3219910666.0298,0.021250495943668502,21.8874987356923,,0.0765,0.000263547320580279,0.22,53.397,51.259,0.022391373051790602,0.41896785736083997,0.545019149780273,0.0360130047798157,3126204,0.58695,Africa,12400000.0,59000000.0
0.038341,,6791.284,Cote d'Ivoire,2000-12-01,,,6734.145,10417060604.9044,0.0646247772701808,41.7324685195025,,0.0996,0.0023146167061279897,,47.046,45.89,0.029318843602003902,0.42097335815429704,0.5500629425048831,0.028963696956634498,16131332,0.43540999999999996,Africa,53000000.0,291000000.0
0.03021,,403.37,Djibouti,2000-12-01,,,,551230861.856505,0.0575373964015385,43.6995409695737,,0.07970000000000001,0.0019450052839995598,,58.613,55.484,0.000318168676432139,0.413750686645508,0.5558655929565429,0.0303837251663208,722887,0.76532,Africa,8100000.0,14800000.0
0.024763999999999998,,141326.18,"Egypt, Arab Rep.",2000-12-01,,,40658.499,99838540997.3209,0.054291492918082905,78.6130767791102,,0.0359,0.00641265037504813,0.13215833333333302,71.059,66.241,0.0205619914785446,0.35427375793457005,0.592401885986328,0.0533243703842163,66136590,0.42796999999999996,Africa,4657000000.0,1206000000.0
0.039671,,454.708,Equatorial Guinea,2000-12-01,,,,1045998533.94841,0.0235668260514489,56.524765196561,,0.0988,0.0013235466512378899,0.22,49.141,46.452,0.00964917528498839,0.42610179901122996,0.5371966171264649,0.036701602935791,518179,0.38805999999999996,Africa,5000000.0,19000000.0
